"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",-0.210174196952579,-0.0978058082543586,-0.064371128308389,-0.040553913316743,-0.0321820472514187,-0.0229178009088056,-0.0176947080308732,-0.0129851212115919,-0.00924160665806872,-0.00698220969638845,-0.00477760933000411,-0.00333846251888992,0.00012880894423845,0.00351317661564542,0.00584519457017233,0.00776417977679517,0.0117301609434634,0.0156901058652539,0.019018447192598,0.0253603430668003,0.0318954008458557,0.035207503801274,0.0620095322170701
"2",-0.217961819322198,-0.102247272440748,-0.0669448780235787,-0.0423571365898671,-0.0330124564745431,-0.0234775243919337,-0.017913742307525,-0.0131674134664558,-0.0092387133443632,-0.00687800211824038,-0.00440651404065491,-0.00324664610657919,0.000868296282116341,0.00391886577675399,0.00708169856717579,0.0084420398747274,0.0136111267024058,0.0168694706907947,0.0202951546828085,0.0264403031693535,0.0339558364799441,0.0375981631934634,0.0664613873448554
"3",-0.215329135600297,-0.101201601619304,-0.0662667911719076,-0.0419693412958744,-0.0320164125589814,-0.022801663092299,-0.0176589493302167,-0.0129344785741177,-0.00848340383556145,-0.00662756735709719,-0.00455555375219315,-0.00315294077896222,0.000486960358525217,0.00394566491117559,0.00679473057731609,0.00845735853044596,0.0136171854288456,0.0168848549957576,0.0201716795235636,0.0260986392959707,0.0336847591445953,0.037668386524273,0.0664508158765636
"4",-0.212888487556059,-0.100343748272069,-0.0658614701773716,-0.0418316372974961,-0.0316709768991723,-0.0224997632677285,-0.0173896867047858,-0.012573048794152,-0.00849841177896959,-0.00668035362310862,-0.00517177170056578,-0.00377959509705996,-2.87349833932616e-05,0.00397153760654806,0.00650705030088194,0.00856601910933029,0.0132679012423317,0.0172617320334699,0.0201881074920334,0.0264464669717501,0.0341482442553356,0.0382294718431018,0.0670134015420488
"5",-0.214333305301881,-0.0988926189734843,-0.0663466812158511,-0.0421223875918859,-0.034966444992771,-0.0231195162747725,-0.0175883649783464,-0.0129688753150496,-0.00901353082484415,-0.00680149680676709,-0.00540522708322689,-0.00384719520116549,-0.00115647978064322,0.00315891821337091,0.00645117403806651,0.00854754875862168,0.0130315896547576,0.0172692766666798,0.0201744624985041,0.025611651981152,0.0339869063058325,0.0379112884718302,0.0672510009583788
"6",-0.215823088381383,-0.0996732517959806,-0.0665750508155742,-0.0422193226375025,-0.0352246113479757,-0.0240599146163194,-0.0178767694553779,-0.0133149395244189,-0.00916909518719366,-0.00749795721901397,-0.00554199554486221,-0.00403704193850325,-0.0019623193443303,0.0029028198547904,0.00635744118509614,0.00835290204744859,0.01177048676241,0.0171886380267805,0.0198883883700186,0.0247233180489253,0.033873187508439,0.0378054641909427,0.067273265933558
"7",-0.21269392294925,-0.0984651213340843,-0.0658084890543782,-0.0417359736965797,-0.0336694320637821,-0.0234386876496988,-0.0176506731628982,-0.0130195180017964,-0.00906437967681036,-0.0068485480996836,-0.0054316575118366,-0.0038625393627,-0.000920360402202775,0.00373775725231457,0.00635944428075682,0.00849193425598651,0.0137220693451765,0.0170244847608058,0.0204397684408697,0.0253922883898021,0.0334274609983391,0.0369577777067492,0.0666210509842889
"8",-0.210735303825398,-0.0976375940508007,-0.0647271449941249,-0.0413926908208188,-0.0328305445179541,-0.0229916786586696,-0.0175119559303095,-0.012851281701087,-0.00897190126864758,-0.00676230243847982,-0.00538799774097364,-0.00381156525428268,-3.8033731354528e-05,0.00387238876053917,0.00624942584326964,0.00833173115149633,0.012940960746505,0.0168655956742959,0.0202498312379205,0.025184160565846,0.0331458023309381,0.0364436618867373,0.0651832476443468
"9",-0.210882297478562,-0.0977143925575533,-0.0635445666769096,-0.0414676394792325,-0.0324130757389835,-0.0229438814269921,-0.0174857069922317,-0.0128208117224101,-0.00852076318718602,-0.00668826980851154,-0.00516508379433233,-0.00308034092000617,0.000765315074349457,0.00402437551739649,0.00637227652735075,0.00851276502849019,0.0137331409550318,0.0172624875990309,0.020656784729492,0.0275519041323163,0.0347456671404562,0.0363702226497453,0.0640902375015825
"10",-0.206984373224548,-0.0958383881853588,-0.0624370268363081,-0.0407662312941308,-0.031207986027016,-0.0225581494552568,-0.017153298956424,-0.0127364621851704,-0.00884116448095463,-0.00662824029701246,-0.00526342388695299,-0.00373275230916105,0.000120630556308722,0.00394768167323175,0.00625092012772984,0.00840033319672513,0.013462614851973,0.016849089964909,0.020360139105331,0.02677971019043,0.034256844668684,0.0359308011062735,0.063148930032819
"11",-0.203391409379539,-0.0942684227581845,-0.0611594431777152,-0.0400626064634123,-0.0306589003524596,-0.0222094971794315,-0.0168839170700176,-0.0124776596701774,-0.00870402212599712,-0.00700733397090292,-0.00515763279249067,-0.00364696753162779,-0.000650721148767455,0.00380400146016041,0.00616942828423199,0.0081577782933301,0.0132594317109004,0.0164746543424792,0.0200585592595726,0.0262315187942446,0.0338303268116241,0.0355769044499829,0.0623969564908701
"12",-0.199686244800399,-0.0927153747830231,-0.060026900418368,-0.0394337433483328,-0.0299155796629679,-0.0217244116736851,-0.0165927095368699,-0.0122164612192075,-0.00937143210164284,-0.00741251349070254,-0.00540218212365894,-0.00366923707645015,-0.00157280324446451,0.00351751709307566,0.00610013617048757,0.00804756587539543,0.0125639616297487,0.0163490964290641,0.0197595547415946,0.0254890098805551,0.0335595137260098,0.0353163646026549,0.061818448591379
"13",-0.195842930099855,-0.0902622191247041,-0.0589552566687117,-0.0380736430087231,-0.0291522906627493,-0.0210279397588772,-0.0163318979712136,-0.0121434432963474,-0.00981690225292921,-0.00731211771713294,-0.00536690650592223,-0.00362929539081397,-0.00162965913253222,0.00300239371286929,0.00595675339456044,0.00791429580290142,0.0121279967845393,0.0161218383606514,0.019474165127002,0.0250227794086962,0.0325833302362449,0.0340065437353205,0.060834212677054
"14",-0.195772104035802,-0.0900432386113061,-0.0588947052649279,-0.03801735254746,-0.0284836145794199,-0.0210343193530403,-0.0160474123354892,-0.0121090607297805,-0.00983479881089157,-0.00731864212391049,-0.0053628925053576,-0.00360216863607654,-0.00155046627783825,0.00367174114763264,0.00597995301586423,0.00797078507425191,0.0129123018783324,0.0162352059036133,0.0196118402653697,0.0294065547658957,0.0330409009632356,0.0337074114362192,0.0605475660611014
"15",-0.192058911051806,-0.0825916404512509,-0.0579069381712393,-0.0369305401852518,-0.027125572366782,-0.0196860093278306,-0.0155859681855842,-0.0118959550227811,-0.00908067110283168,-0.00716932802526131,-0.00487917416790244,-0.00339302945180491,-0.00035005899261682,0.00370698751814005,0.00589405021283291,0.0079018882196042,0.0127358560831939,0.015950509177598,0.0193396428627623,0.0285997892955935,0.0326203236286124,0.0334167766644017,0.0598007896559272
"16",-0.189540167685341,-0.0816633380897707,-0.0572447669938979,-0.036242930798904,-0.0266376638207283,-0.0193973726545906,-0.0151175436250365,-0.01170844857318,-0.00827519367264779,-0.00673182985892028,-0.00481777320665418,-0.00332708921674834,0.000465866639091183,0.00380987349471737,0.00591401166039785,0.00799065617466872,0.0127528312080534,0.0166486901890748,0.0200115887606791,0.0276302724708002,0.032346126472916,0.0331881956647695,0.0458329816418011
"17",-0.192848591623392,-0.0828378435983371,-0.0581304353807314,-0.0366254092667005,-0.0293120480158841,-0.0211320328980995,-0.0161377658460419,-0.0119516272678612,-0.00969443325561221,-0.00719027732022784,-0.00500558559677138,-0.0034176933812436,3.75311209930355e-05,0.00379330386787035,0.00592306625506416,0.00788973384443492,0.0127720050415648,0.016799082372016,0.019782169085976,0.0270049547036055,0.0326592533906674,0.0334725270735115,0.0463393238027693
"18",-0.189274091631239,-0.0814369321511772,-0.0571638677936411,-0.0342309525029294,-0.0286520784560792,-0.0207017346708574,-0.0155722345496519,-0.0116862946081128,-0.00868389237062723,-0.00700616842859757,-0.0047786795973982,-0.00332315248844665,0.000746363225147433,0.00378672515115897,0.00591958309658736,0.0079580354128845,0.0127168471843785,0.0161902589162433,0.0195321590986773,0.0262901622886935,0.0322932106702497,0.0331848697987674,0.0451833165463047
"19",-0.186846262894015,-0.0800797210706303,-0.056532329588528,-0.0336392407260036,-0.0280512395253267,-0.0201612733550599,-0.015215945913055,-0.011799619310776,-0.00938500571509153,-0.00695527892660742,-0.00501389211517318,-0.00325167612230318,0.000164844085381245,0.00376218112618762,0.00589109255399605,0.007915403538312,0.0126522333633607,0.0159174330318363,0.0192348306329622,0.0251409630839583,0.032129514287752,0.0330865573398195,0.0450441329817122
